Cuenta;Valor;Tipo mov.
1;Financiación básica;Mayor
10;Capital;Mayor
100;Capital social;Mayor
1000;Capital social;Mayor
100000001;Capital social;Auxiliar
101;Fondo Social;Mayor
102;Capital;Mayor
103;Socios por desembolsos no exig;Mayor
1030;Soc.por des. no exig, Cap. soc;Mayor
103000001;Soc.por des. no exig, Cap. soc;Auxiliar
1034;Soc.por des. no exig, Cap. pen;Mayor
103400001;Soc.por des. no exig, Cap. pen;Auxiliar
104;Soc por aport no din pendiente;Mayor
1040;Soc.aport. no din pen,Cap. soc;Mayor
104000001;Soc.aport. no din pen,Cap. soc;Auxiliar
1043;Soc. aport. no din pen, emp gr;Mayor
104300001;Soc. aport. no din pen, emp gr;Auxiliar
1044;Soc.aport. no din pen,Cap. pen;Mayor
104400001;Soc.aport. no din pen,Cap. pen;Auxiliar
108;Acc. o part. prop. sit. espec.;Mayor
1080;Acc. o part. prop. sit. espec.;Mayor
108000001;Acc. o part. prop. sit. espec.;Auxiliar
109;Acc. o part. prop. reduc. capi;Mayor
11;Reservas;Mayor
110;Prima emisión o asunción;Mayor
1100;Prima emisión o asunción;Mayor
110000001;Prima emisión o asunción;Auxiliar
111;Otros inst. de patrimonio neto;Mayor
1110;Patrim. neto emis inst. fin. c;Mayor
111000001;Patrim. neto emis inst. fin. c;Auxiliar
1111;Resto de inst. de patrim. neto;Mayor
111100001;Resto de inst. de patrim. neto;Auxiliar
112;Reserva legal;Mayor
1120;Reserva legal;Mayor
112000001;Reserva legal;Auxiliar
113;Reserva voluntaria;Mayor
1130;Reserva voluntaria;Mayor
113000001;Reserva voluntaria;Auxiliar
1135;Reservas por transic. PGC07;Mayor
113500001;Reservas por transic. PGC07;Auxiliar
114;Reservas especiales;Mayor
1140;Res. acc. o part. de soc. dom.;Mayor
114000001;Res. acc. o part. de soc. dom.;Auxiliar
1141;Reservas estatutarias;Mayor
114100001;Reservas estatutarias;Auxiliar
1142;Reservas por capital amortizad;Mayor
114200001;Reservas por capital amortizad;Auxiliar
1143;Reserva por fondo de comercio;Mayor
114300001;Reserva por fondo de comercio;Auxiliar
1144;Reserva por acc ppias ac en g.;Mayor
114400001;Reserva por acc ppias ac en g.;Auxiliar
1145;Reserva capitalización;Mayor
114500001;Reserva capitalización;Auxiliar
115;Rsrv por pérd y gan act y ajus;Mayor
1150;Rsrv por pérd y gan act y ajus;Mayor
115000001;Rsrv por pérd y gan act y ajus;Auxiliar
118;Aportac. de socios o propietar;Mayor
119;Dif. por ajuste capital a euro;Mayor
12;Resultados pdtes. aplicación;Mayor
120;Remanente;Mayor
1200;Remanente;Mayor
120000001;Remanente;Auxiliar
121;Resultados neg. ejer.anters.;Mayor
1210;Resultados neg. ejer.anters.;Mayor
121000001;Resultados neg. ejer.anters.;Auxiliar
129;Resultado del ejercicio;Mayor
1290;Resultado del ejercicio;Mayor
129000000;Resultado del ejercicio;Auxiliar
129000001;Resultado del ejercicio;Auxiliar
13;Subvenc, donac, y ajust. camb;Mayor
130;Subvenciones oficiales capital;Mayor
1300;Subvenciones oficiales capital;Mayor
130000001;Subvenciones oficiales capital;Auxiliar
131;Donaciones y legados capital;Mayor
1310;Donaciones y legados capital;Mayor
131000001;Donaciones y legados capital;Auxiliar
132;Otras subv., don., y legados;Mayor
1320;Otras subv., don., y legados;Mayor
132000001;Otras subv., don., y legados;Auxiliar
133;Aj. valor. act. fin. disp. vta;Mayor
1330;Aj. valor. act. fin. disp. vta;Mayor
